Incubation_Center,Name_of_startup,Location of company,Sector,City,State
Chitkara innovation Incubator Foundation,Sustainergic Tech Pvt. Ltd.,Chandigarh,IOT,Chandigarh,Haryana
CIIE Initiatives,GalaxEye,"Chennai, Tamilnadu",Smart infrastructure,Chennai,Tamilnadu
CIIE Initiatives,Extrawatts Renewables Pvt Ltd.,New Delhi,Cleantech and Environment,New Delhi,
CIIE Initiatives,Urban Air Labs,"Delhi, Delhi",Clean tech,Delhi,Delhi
CIIE Initiatives,Nunam Technology India Private Limited,"Bengaluru, Karnataka",Cleantech,Bengaluru,Karnataka
CIIE Initiatives,Kidaura,"Nashik , Maharashtra",Healthcare,Nashik,Maharashtra
CIIE Initiatives,Aiborne Tech,"Delhi, Delhi",Skilling & Edtech,Delhi,Delhi
CIIE Initiatives,Pacify Medical,"Mumbai, Maharashtra",Healthcare,Mumbai,Maharashtra
CIIE Initiatives,Evoluto,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
CIIE Initiatives,Redicine Medsol,"Ahmedabad, Gujarat",Healthcare,Ahmedabad,Gujarat
CIIE Initiatives,Minocular,Raipur,Smart infrastructure / Mining,Raipur,Chhattisgarh
CIIE Initiatives,Godaam Innovations Pvt. Ltd.,"Nashik , Maharashtra",Agritech,Nashik,Maharashtra
CIIE Initiatives,Articulus Surgical,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
CTIE,Encephalon Solutions,"Hubli, Karnataka",Medical,Hubli,Karnataka
DERBI Foundation,Backyard Creators Pvt Ltd,Madhurai,Healthcare,Madhurai,
DERBI Foundation,Machphy Solutions,Bhubaneswar,Healthcare,Bhubaneswar,Odisha
DERBI Foundation,Fititout Solutions,"Chennai, Tamilnadu",Healthcare,Chennai,Tamilnadu
DERBI Foundation,Carbon Hubs Private Limited,"Bengaluru, Karnataka",Clean and Health Tech,Bengaluru,Karnataka
DERBI Foundation,Prayasta 3D Inventions Private Limited,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
DERBI Foundation,Acculi Labs Pvt Ltd.,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
DERBI Foundation,Hinnts Consultancy Services Private Limited,"Bengaluru, Karnataka",Healthcare,Bengaluru,Karnataka
FIRST SIIC IIT Kanpur,WeRehab Technologies Pvt. Ltd.,"Kanpur, Uttar Pradesh",Health Tech,Kanpur,Uttar Pradesh
FIRST SIIC IIT Kanpur,Campus Haat Solutions Pvt Ltd,"Kanpur, Uttar Pradesh",Social Commerce,Kanpur,Uttar Pradesh
"FITT, IIT Delhi",Dweepi Innovations Pvt Ltd,Visakhapatnam,"Railways, transportation",Visakhapatnam,Andhra Pradesh
"FITT, IIT Delhi",Trydan Motors Private Limited,New Delhi,E-mobility,New Delhi,
"FITT, IIT Delhi",Let's Farm (Shvaas Sustainable Solutions Private Limited),"Jaipur, Rajasthan",Agri-Tech,Jaipur,Rajasthan
"FITT, IIT Delhi",Ambrosius Tech Pvt. Ltd.,"Satara, Maharashtra",EdTech,Satara,Maharashtra
"FITT, IIT Delhi",Materate Education Pvt Ltd,New Delhi,Education,New Delhi,
"FITT, IIT Delhi",Neem Tree Agro Solutions Private Limited,"Delhi, Delhi",AgriTech,Delhi,Delhi
"FITT, IIT Delhi",MeuKron Technologies,"Belagavi, Karnataka",Healthcare,Belagavi,Karnataka
"FITT, IIT Delhi",NextLeap Aeronautics Pvt Ltd,"Bengaluru, Karnataka","Aerospace, UAV, Drones, Defence",Bengaluru,Karnataka
"FITT, IIT Delhi",Andromeida Maritime Solutions Pt. Ltd.,"Gurugram, Haryana",Robotics,Gurugram,Haryana
"FITT, IIT Delhi",Ominar Innovations,"Pune, Maharashtra",Digital Health helathcare,Pune,Maharashtra
Forge (Coimbatore Innovation and Business Incubator),BigDipper Exploration Technologies,"Delhi, Delhi",Space Tech,Delhi,Delhi
Forge (Coimbatore Innovation and Business Incubator),Abhaya Information Technology,"Mumbai, Maharashtra",Digital Health Tech,Mumbai,Maharashtra
Forge (Coimbatore Innovation and Business Incubator),TestedOK Technologies,"Coimbatore, Tamil Nadu",Industrial Digital Transformation,Coimbatore,Tamil Nadu
Forge (Coimbatore Innovation and Business Incubator),PQSI Digital,"Chennai, Tamilnadu",Industry Digital Transformation (Manufacturing Industries),Chennai,Tamilnadu
Forge (Coimbatore Innovation and Business Incubator),Torus Robotics Pvt Ltd,"Chennai, Tamilnadu",Future Mobility,Chennai,Tamilnadu
Forge (Coimbatore Innovation and Business Incubator),ExactSpace Technologies,"Bengaluru, Karnataka","Industrial Digital Transformation (Energy Sector, Process Industries)",Bengaluru,Karnataka
Forge (Coimbatore Innovation and Business Incubator),Aindra Systems,"Bengaluru, Karnataka",Digital Health Tech,Bengaluru,Karnataka
Forge (Coimbatore Innovation and Business Incubator),Blackfrog Technologies,"Manipal, Karnataka",Digital Health Tech,Manipal,Karnataka
Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Yarev Technology Pvt. Ltd.,Rourkela,IoT,Rourkela,Odisha
Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Clavictor Academy Private Limited,Rourkela,Education Technology,Rourkela,Odisha
Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Coratia Technologies,Rourkela,Robotics,Rourkela,Odisha
Foundation for Technology and Business Incubation (FTBI) NIT Rourkela,Quidle Enterprise,Rourkela,IoT and consumer products,Rourkela,Odisha
Grameena Incubation Center,Transity,"Chennai, Tamilnadu",Agri-Supply Chain,Chennai,Tamilnadu
Grameena Incubation Center,TraceX,"Bengaluru, Karnataka",Block chain,Bengaluru,Karnataka
Grameena Incubation Center,"""Temperate Technologies""","Hyderabad, Telangana",Cold Storage Solutions,Hyderabad,Telangana
Gujarat University Startup and Entrepreneurship Council (GUSEC),Multplyr,"Ahmedabad, Gujarat",Enterprise Solution,Ahmedabad,Gujarat
Gujarat University Startup and Entrepreneurship Council (GUSEC),Quixote Automotive Technologies Pvt Ltd,"Ahmedabad, Gujarat",AI/ML,Ahmedabad,Gujarat
Gujarat University Startup and Entrepreneurship Council (GUSEC),Plutomen Technologies Pvt Ltd,"Ahmedabad, Gujarat",VR/AR/MR/XR,Ahmedabad,Gujarat
Gujarat University Startup and Entrepreneurship Council (GUSEC),IEIDidactics LLP,Vadodara,Education,Vadodara,Gujarat
Gujarat University Startup and Entrepreneurship Council (GUSEC),UrbanKHET,"Ahmedabad, Gujarat",Agriculture,Ahmedabad,Gujarat
Gujarat University Startup and Entrepreneurship Council (GUSEC),E-Vega Mobility Labs,"Ahmedabad, Gujarat",Clean Energy,Ahmedabad,Gujarat
Gujarat University Startup and Entrepreneurship Council (GUSEC),microfinance.ai - Uthaan Technologies Pvt Ltd,"Delhi, Delhi",Financial Inclusion,Delhi,Delhi
Gujarat University Startup and Entrepreneurship Council (GUSEC),Waste Tracker - Towaso Pvt ltd,Jamshedpur,Environment,Jamshedpur,Jharkhand
IIIT B Innovation Centre,DeepVisionTech Pvt. Ltd.,"Bengaluru, Karnataka","Multiple (Assistive Tech) - Education, B2C, B2B, B2G",Bengaluru,Karnataka
IIIT B Innovation Centre,Breezy,"Bengaluru, Karnataka","Environment, Technology",Bengaluru,Karnataka
IIIT B Innovation Centre,HAVELI UAVs,"Bengaluru, Karnataka","Skill Development, Agri-Tech, Drones",Bengaluru,Karnataka
IIITD Innovation & Incubation Center,Tweek Labs Pvt Ltd,New Delhi,AI & IOT,New Delhi,
IIITD Innovation & Incubation Center,Shasmith Technologies Pvt Ltd,New Delhi,Health Technology,New Delhi,
IIITD Innovation & Incubation Center,Eleqtrasoft Education Pvt Ltd,New Delhi,Education Technology,New Delhi,
IIITD Innovation & Incubation Center,Fin Lit Project Services Pvt Ltd,"Lucknow, Uttar Pradesh",Education Technology,Lucknow,Uttar Pradesh
IIITD Innovation & Incubation Center,ShikshAI Pvt Ltd,"Kolkata, West Bengal",Education Technology,Kolkata,West Bengal
IIITD Innovation & Incubation Center,Swapeco Solutions Pvt Ltd,New Delhi,Waste Management,New Delhi,
IIITD Innovation & Incubation Center,Embedsense Solutions Pvt Ltd,"Bengaluru, Karnataka",Manufacturing IOT Sensors,Bengaluru,Karnataka
IIM Udaipur Incubation Centre,Yobny Technology Solution Pvt Ltd,"Bengaluru, Karnataka",multi-sector (B2B SaaS),Bengaluru,Karnataka
IIM Udaipur Incubation Centre,Statlogic India Pvt Ltd,"Bengaluru, Karnataka",Agritech,Bengaluru,Karnataka
IIM Udaipur Incubation Centre,Arktane Technologies Private Limited,"Noida, Uttar Pradesh",Aviation,Noida,Uttar Pradesh
IIT Kanpur,Arthavedika Tech Pvt Ltd,"Noida, Uttar Pradesh",Fintech,Noida,Uttar Pradesh
IIT Mandi Catalyst,Datalytics Technologies Private Limited,"Nagpur, Maharashtra",Business Intellegence Tool,Nagpur,Maharashtra
IIT Mandi Catalyst,Elight SPM OPC Pvt Ltd.,New Delhi,Dronetech,New Delhi,
IIT Mandi Catalyst,DatumM Tech-Solutions,"Kangra, HP",Medical Devices,Kangra,HP
IIT Mandi Catalyst,IntelVib,"DIAT,Pune",Manufacturing,DIAT,Pune
IIT Mandi Catalyst,Farm Intelligent Systems,"Pune, Maharashtra","Agri Tech, Robotics,",Pune,Maharashtra
IIT Mandi Catalyst,Coding Made Easy,Warangal,Information Technology,Warangal,Telangana
IIT Mandi Catalyst,ECOC,Warangal,Electric Bicycles,Warangal,Telangana
IITM Incubation Cell,ISMO Biophotonics Private Limited,"Chennai, Tamilnadu",Biotech/ Bio-informatics,Chennai,Tamilnadu
IITM Incubation Cell,C3 Medtech Private Limited,"Chennai, Tamilnadu",Healthcare,Chennai,Tamilnadu
IITM Incubation Cell,Dextroware Devices Private Limited,"Chennai, Tamilnadu",Healthcare,Chennai,Tamilnadu
IITM Incubation Cell,InuAid Solutions Private Limited,"Chennai, Tamilnadu",Artificial Intelligence / Machine Learning / IOT / Cloud,Chennai,Tamilnadu
IITM Incubation Cell,Revoh Innovations Private limited,"Chennai, Tamilnadu",Infra and Transportation,Chennai,Tamilnadu
IITM Incubation Cell,Good Move Logistics & Transport Private limited,"Chennai, Tamilnadu",Logistics,Chennai,Tamilnadu
INurture Incubation Foundation,Hawaiadda Aerial Innovations Private Limited,"Ghaziabad, Uttar Pradesh",Aerospace & Defence,Ghaziabad,Uttar Pradesh
