Incubation_Center,Name_of_startup,Location of company,Sector,City,State
STEP - TIET Patiala,Roschcrete Technologies Private Limited,"Jalandhar City, Punjab",Construction / Smart City,Jalandhar City,Punjab
STEP - TIET Patiala,Minus Zero Robotics Private Limited,Patiala,Autonomous Vehicles (AI & Robotics),Patiala,
STEP - TIET Patiala,Tensor Matics Pvt Ltd,Tensor Matics Pvt Ltd,AI - ML,Tensor Matics Pvt Ltd,
TIDES Business Incubator IIT Roorkee,NANOAI TECHNOLOGY,"TIDES Business Incubator, IIT Roorkee",Embedded Electronics,TIDES Business Incubator,IIT Roorkee
TIDES Business Incubator IIT Roorkee,ThermoPV solar private limited,"Delhi, Delhi",Renewable energy(Solar),Delhi,Delhi
TIDES Business Incubator IIT Roorkee,Virbhadra Implants Private Limited,Dehradun,Medical Device,Dehradun,Uttarakhand
TIDES Business Incubator IIT Roorkee,Fermentech Labs Pvt. Ltd.,Roorkee,Biotechnology,Roorkee,
TIDES Business Incubator IIT Roorkee,Powerzest Energy Solutions Pvt ltd,"Mumbai, Maharashtra",Renewable Energy,Mumbai,Maharashtra
TIDES Business Incubator IIT Roorkee,UNIURJA PRIVATE LIMITED,"PATNA, BIHAR",RENEWABLE ENERGY,PATNA,BIHAR
TIDES Business Incubator IIT Roorkee,Raikamal Bhattacharya,IIT Roorkee,Bioprocess and agriculture,IIT Roorkee,
TIDES Business Incubator IIT Roorkee,Biofluidics Innovation Pvt. Ltd,Roorkee,Healthcare,Roorkee,
"TIIC, ABV-IIITM, Gwalior",Identifying privacy risks due to contact tracing during COVID-19 and their mitigation,Gwalior,IT/Modeling,Gwalior,Madhya Pradesh
"TIIC, ABV-IIITM, Gwalior",IOT Based Smart Device to Implement Gesture Keyboard in the Light of COVID-19 Disease,Gwalior,IOT,Gwalior,Madhya Pradesh
"TIIC, ABV-IIITM, Gwalior",Virtual Lab on Data Structure and Algorithms,GWALIOR,AI,GWALIOR,Madhya Pradesh
"TIIC, ABV-IIITM, Gwalior",Development of IOT Based Smart isolation/ Quarantine Center to combat COVID-19,Gwalior,IOT,Gwalior,Madhya Pradesh
"TIIC, ABV-IIITM, Gwalior",SehatOne � Comprehensive Medical Analysis for Organizations,Gwalior,Healthcare,Gwalior,Madhya Pradesh
Vel Tech Technology Incubator,DHE4 Ventures Private Limited,"Chennai, Tamilnadu",Healthcare,Chennai,Tamilnadu
Vel Tech Technology Incubator,Kittivasal Technologies OPC Pvt Ltd,"Chennai, Tamilnadu",ITES,Chennai,Tamilnadu
Vel Tech Technology Incubator,Mirai Research Solutions,"Chennai, Tamilnadu",Energy,Chennai,Tamilnadu
Vel Tech Technology Incubator,SMBSURE BUSINESS SOLUTIONS PVT LTD,"Chennai, Tamilnadu",IoT,Chennai,Tamilnadu
VITTBI,Alfaleus Technology Private Limited,"Bengaluru, Karnataka",Medtech,Bengaluru,Karnataka
VITTBI,MR.Abhishek Kumar - company not incorporated (EiR -Foreclosed as of April 2021),Indore,IoT,Indore,Madhya Pradesh
VITTBI,Egarden Pvt Ltd,"Chennai, Tamilnadu",Agri tech,Chennai,Tamilnadu
VITTBI,RIVER RBEND DATA SOLUTIONS Pvt. Ltd,"Hyderabad, Telangana",Artificial intellegence - Health/MedTech,Hyderabad,Telangana
VITTBI,GREEN DOMAIN ENERGY SOLUTIONS (yet to incorporate),Kahalgaon Bihar,IOT based Renewable Energy management System,Kahalgaon Bihar,
VITTBI,Movio Technologies Pvt. Limited,Chattisgarh,EV,Chattisgarh,
VITTBI,TeraLumen Solutions Pvt. Ltd.,"Chennai, Tamilnadu",Medical Diagnostics and NDT,Chennai,Tamilnadu
VITTBI,Fat Cat Robotics Pvt Ltd,"Pune, Maharashtra",IoT,Pune,Maharashtra
VITTBI,ThoughtBit Technologies Pvt Ltd,"Chennai, Tamilnadu",Fintech,Chennai,Tamilnadu
VITTBI,Okulo Aerospace Private Limited,"Bengaluru, Karnataka","Aerospace & Defense, Robotics, AI & ML",Bengaluru,Karnataka
